loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,fico_range_low,revol_util,loan_status
10300,60 months,23.91,295.77,G,10+ years,MORTGAGE,40300,Source Verified,debt_consolidation,6.54,0,661,26.9,Fully Paid
11300,60 months,13.97,262.76,D,,RENT,73200,Source Verified,debt_consolidation,18.04,3,686,31.5,Charged Off
17500,60 months,8.5,359.04,B,10+ years,MORTGAGE,66500,Verified,credit_card,12.68,0,709,54.2,Charged Off
12400,60 months,12.49,278.91,C,10+ years,RENT,144200,Source Verified,credit_card,20.77,1,701,62.3,Charged Off
15900,36 months,6.43,486.81,A,1 year,MORTGAGE,47300,Source Verified,debt_consolidation,10.32,0,733,42.9,Fully Paid
6100,60 months,14.93,144.89,C,4 years,MORTGAGE,67200,Source Verified,debt_consolidation,20.94,0,686,56.7,Charged Off
10500,36 months,6.09,319.86,A,3 years,MORTGAGE,82400,Not Verified,debt_consolidation,8.46,0,768,45.9,Fully Paid
13600,60 months,9.18,283.5,A,8 years,RENT,32200,Not Verified,credit_card,27.82,0,758,35.4,Fully Paid
5300,36 months,16.03,186.41,D,8 years,MORTGAGE,39200,Verified,debt_consolidation,13.21,0,683,32.8,Fully Paid
16400,60 months,10.91,355.84,B,6 years,MORTGAGE,125800,Verified,credit_card,11.0,0,717,85.2,Charged Off
6900,36 months,20.73,259.0,E,5 years,RENT,57100,Verified,debt_consolidation,29.61,2,664,56.5,Charged Off
8400,36 months,9.37,268.57,B,2 years,MORTGAGE,46600,Source Verified,debt_consolidation,27.73,0,710,53.2,Charged Off
15800,36 months,20.0,587.18,E,5 years,RENT,74600,Verified,debt_consolidation,16.92,1,694,28.5,Fully Paid
9500,36 months,13.84,323.95,C,10+ years,MORTGAGE,96400,Not Verified,debt_consolidation,43.81,0,700,64.1,Charged Off
4100,36 months,17.88,147.98,D,10+ years,MORTGAGE,85500,Verified,credit_card,11.46,0,687,50.8,Fully Paid
19500,36 months,15.32,679.03,C,2 years,RENT,70100,Not Verified,debt_consolidation,20.22,0,702,67.1,Charged Off
25900,36 months,11.13,849.53,B,,RENT,47600,Source Verified,debt_consolidation,12.84,0,704,50.9,Fully Paid
16700,36 months,8.74,529.04,B,< 1 year,MORTGAGE,36300,Not Verified,debt_consolidation,22.73,1,691,44.5,Charged Off
16600,36 months,7.62,517.28,A,9 years,RENT,127900,Verified,medical,27.7,0,739,29.2,Charged Off
14000,36 months,22.12,535.54,F,10+ years,MORTGAGE,50700,Verified,debt_consolidation,15.89,1,651,64.8,Charged Off
7300,36 months,14.44,251.06,C,1 year,MORTGAGE,75500,Not Verified,debt_consolidation,10.2,0,685,59.6,Fully Paid
9900,36 months,10.13,320.05,B,9 years,RENT,40100,Verified,debt_consolidation,15.55,1,704,86.3,Charged Off
20100,36 months,15.25,699.24,C,4 years,MORTGAGE,33600,Source Verified,debt_consolidation,6.93,0,693,38.7,Fully Paid
27000,36 months,18.34,980.73,D,10+ years,RENT,35100,Not Verified,debt_consolidation,11.52,0,685,66.5,Fully Paid
8900,36 months,6.81,274.03,A,2 years,OWN,48000,Not Verified,major_purchase,15.56,1,742,33.9,Fully Paid
12000,60 months,16.84,297.2,D,9 years,MORTGAGE,48900,Not Verified,debt_consolidation,8.96,1,682,46.8,Charged Off
3900,36 months,9.75,125.38,B,10+ years,RENT,57300,Verified,credit_card,3.46,0,727,90.3,Fully Paid
23200,36 months,12.63,777.57,C,1 year,MORTGAGE,33000,Verified,credit_card,14.01,0,674,50.6,Fully Paid
8700,36 months,19.42,320.76,E,10+ years,RENT,143900,Verified,credit_card,27.16,0,670,50.6,Charged Off
10200,36 months,12.38,340.64,B,10+ years,RENT,26700,Source Verified,debt_consolidation,27.61,1,692,28.4,Fully Paid
8100,36 months,11.27,266.22,B,10+ years,RENT,131400,Source Verified,debt_consolidation,15.94,1,722,71.2,Charged Off
9100,36 months,11.78,301.29,B,10+ years,MORTGAGE,77800,Verified,medical,8.35,0,705,61.4,Fully Paid
11000,36 months,8.61,347.8,A,9 years,RENT,50500,Verified,debt_consolidation,18.36,2,744,65.5,Fully Paid
6500,36 months,6.86,200.29,A,4 years,MORTGAGE,36200,Source Verified,debt_consolidation,23.58,1,732,91.1,Charged Off
19400,60 months,10.03,412.48,B,10+ years,MORTGAGE,34700,Not Verified,car,8.38,0,685,64.6,Fully Paid
21300,60 months,10.68,459.72,B,10+ years,MORTGAGE,41900,Not Verified,debt_consolidation,27.19,0,691,50.0,Charged Off
10000,36 months,10.32,324.18,B,10+ years,RENT,105300,Not Verified,credit_card,26.22,0,709,47.8,Charged Off
6600,60 months,6.37,128.74,A,1 year,OWN,125200,Verified,debt_consolidation,46.28,0,746,69.4,Charged Off
34700,36 months,12.88,1167.18,C,4 years,RENT,21600,Verified,debt_consolidation,31.03,1,697,55.6,Fully Paid
6200,60 months,20.94,167.52,E,10+ years,MORTGAGE,117300,Not Verified,debt_consolidation,18.1,0,669,41.6,Charged Off
16000,60 months,12.27,358.1,C,6 years,MORTGAGE,40100,Not Verified,credit_card,5.42,1,706,42.0,Fully Paid
11900,36 months,15.14,413.33,C,3 years,MORTGAGE,154000,Not Verified,debt_consolidation,41.96,1,691,41.6,Charged Off
6700,36 months,11.01,219.38,B,10+ years,MORTGAGE,220800,Not Verified,debt_consolidation,16.59,1,716,45.4,Charged Off
20700,60 months,12.82,469.08,C,10+ years,RENT,40400,Source Verified,credit_card,26.54,1,690,29.4,Charged Off
5800,36 months,12.51,194.06,B,10+ years,MORTGAGE,28200,Not Verified,home_improvement,26.2,0,703,57.9,Charged Off
23800,60 months,16.36,583.33,D,10+ years,OWN,44300,Not Verified,debt_consolidation,29.44,0,690,69.1,Fully Paid
11300,36 months,15.79,396.1,D,7 years,MORTGAGE,36400,Not Verified,debt_consolidation,11.37,1,682,26.2,Fully Paid
10600,36 months,9.12,337.67,B,10+ years,MORTGAGE,28900,Not Verified,debt_consolidation,20.14,0,722,54.1,Fully Paid
8200,36 months,14.74,283.21,C,,RENT,67800,Verified,debt_consolidation,10.32,1,708,40.0,Fully Paid
7300,36 months,13.75,248.61,C,10+ years,MORTGAGE,55600,Source Verified,credit_card,7.18,0,706,68.7,Fully Paid
6500,36 months,15.55,227.08,D,10+ years,MORTGAGE,78500,Source Verified,debt_consolidation,15.41,0,673,52.7,Fully Paid
10700,60 months,10.59,230.46,B,< 1 year,RENT,65600,Verified,debt_consolidation,29.21,1,703,79.1,Charged Off
13400,36 months,8.79,424.81,B,2 years,RENT,17100,Not Verified,home_improvement,11.03,0,725,91.3,Fully Paid
21400,36 months,10.1,691.52,B,8 years,MORTGAGE,43100,Not Verified,home_improvement,49.24,0,717,74.6,Charged Off
10000,60 months,10.95,217.17,B,10+ years,RENT,158600,Source Verified,debt_consolidation,9.65,0,744,53.7,Fully Paid
22400,36 months,21.71,852.11,E,7 years,MORTGAGE,90100,Not Verified,debt_consolidation,13.75,0,673,36.1,Charged Off
5700,36 months,9.24,181.9,B,4 years,MORTGAGE,51600,Source Verified,debt_consolidation,35.91,0,721,80.9,Charged Off
13300,36 months,18.15,481.83,D,,MORTGAGE,100700,Verified,debt_consolidation,33.67,0,693,11.5,Fully Paid
8400,36 months,10.2,271.83,B,5 years,RENT,47400,Verified,debt_consolidation,15.39,2,711,13.1,Fully Paid
10900,60 months,16.48,267.85,D,5 years,MORTGAGE,21900,Verified,debt_consolidation,14.76,0,698,44.0,Fully Paid
15500,60 months,6.62,304.15,A,10+ years,MORTGAGE,77400,Not Verified,home_improvement,24.75,0,744,32.8,Fully Paid
12800,36 months,9.64,410.86,B,10+ years,RENT,75000,Verified,debt_consolidation,6.05,0,699,95.6,Fully Paid
8600,60 months,7.48,172.24,A,9 years,RENT,65100,Not Verified,credit_card,15.98,0,731,51.2,Fully Paid
10500,36 months,18.47,382.08,D,1 year,MORTGAGE,155000,Source Verified,credit_card,15.97,0,681,14.1,Fully Paid
8400,36 months,15.08,291.52,D,10+ years,MORTGAGE,52200,Verified,major_purchase,12.85,0,674,81.5,Fully Paid
9300,36 months,13.13,313.94,C,4 years,OWN,53800,Source Verified,debt_consolidation,20.66,1,699,91.7,Fully Paid
20400,60 months,6.08,395.15,A,10+ years,OWN,86900,Verified,credit_card,18.37,0,746,9.6,Charged Off
19900,36 months,15.79,697.56,D,2 years,MORTGAGE,103300,Not Verified,credit_card,22.15,1,690,62.4,Charged Off
4900,60 months,15.07,116.75,D,10+ years,MORTGAGE,117500,Not Verified,major_purchase,16.46,0,662,77.0,Fully Paid
14700,36 months,11.05,481.61,B,6 years,RENT,16200,Not Verified,major_purchase,17.75,0,727,39.7,Fully Paid
23100,36 months,11.44,761.09,B,,OWN,38500,Source Verified,credit_card,8.52,0,752,66.6,Fully Paid
11700,36 months,7.18,362.23,A,5 years,RENT,53400,Verified,debt_consolidation,11.23,1,737,51.0,Fully Paid
8100,36 months,6.41,247.93,A,10+ years,MORTGAGE,58600,Verified,debt_consolidation,32.95,0,750,75.8,Fully Paid
9700,36 months,15.63,339.25,C,7 years,OWN,35300,Source Verified,debt_consolidation,23.73,0,700,66.6,Charged Off
14400,36 months,14.4,494.96,C,1 year,MORTGAGE,76700,Source Verified,small_business,14.18,0,683,31.5,Fully Paid
20400,36 months,29.84,864.23,G,2 years,RENT,66400,Not Verified,major_purchase,14.74,0,673,65.0,Charged Off
16800,60 months,13.67,388.04,C,4 years,MORTGAGE,81400,Verified,debt_consolidation,39.91,0,713,63.1,Charged Off
39400,60 months,18.6,1013.41,D,10+ years,RENT,181400,Verified,debt_consolidation,34.46,0,681,13.6,Charged Off
20000,36 months,15.09,694.19,D,10+ years,RENT,57100,Source Verified,debt_consolidation,29.97,0,679,15.3,Fully Paid
9800,36 months,5.0,293.71,A,10+ years,OWN,110300,Not Verified,home_improvement,32.18,1,758,52.0,Charged Off
10200,36 months,6.33,311.83,A,5 years,RENT,26100,Source Verified,debt_consolidation,7.25,0,724,91.9,Charged Off
11500,36 months,27.81,474.5,G,1 year,MORTGAGE,39600,Verified,credit_card,31.56,0,641,60.1,Charged Off
9400,36 months,10.74,306.59,B,6 years,RENT,55700,Source Verified,credit_card,9.39,0,712,43.3,Fully Paid
9400,60 months,13.57,216.63,D,2 years,MORTGAGE,97500,Not Verified,credit_card,33.99,1,656,47.5,Charged Off
20200,36 months,6.17,616.08,A,10+ years,MORTGAGE,23200,Source Verified,debt_consolidation,10.93,2,757,23.0,Fully Paid
7700,60 months,14.31,180.41,E,< 1 year,OWN,112500,Not Verified,debt_consolidation,12.5,0,686,71.1,Fully Paid
13700,36 months,17.01,488.51,D,10+ years,MORTGAGE,84800,Verified,debt_consolidation,15.06,1,712,73.3,Charged Off
21800,60 months,21.21,592.34,E,10+ years,RENT,203300,Source Verified,credit_card,11.83,1,659,42.4,Fully Paid
15300,36 months,14.16,524.11,C,10+ years,RENT,90800,Verified,debt_consolidation,12.95,0,698,30.2,Fully Paid
9900,36 months,10.63,322.38,B,,OWN,54800,Not Verified,debt_consolidation,16.27,2,705,78.9,Charged Off
10600,60 months,10.78,229.31,B,8 years,MORTGAGE,141000,Not Verified,credit_card,28.73,0,706,35.9,Fully Paid
6500,60 months,18.13,165.52,E,< 1 year,RENT,105200,Source Verified,debt_consolidation,15.33,0,675,31.9,Fully Paid
10900,36 months,19.79,403.92,E,8 years,RENT,31600,Verified,debt_consolidation,6.81,0,655,52.4,Charged Off
12700,36 months,11.43,418.37,B,10+ years,RENT,63500,Source Verified,credit_card,19.68,0,721,64.6,Fully Paid
13600,36 months,18.05,492.01,D,10+ years,MORTGAGE,54100,Source Verified,debt_consolidation,13.99,0,690,46.9,Charged Off
9200,36 months,12.6,308.21,C,4 years,MORTGAGE,174400,Verified,credit_card,11.39,0,724,36.2,Fully Paid
12800,60 months,6.84,252.49,A,4 years,OWN,101300,Not Verified,debt_consolidation,29.67,1,732,31.1,Charged Off
15600,36 months,13.93,532.64,C,8 years,RENT,65800,Not Verified,credit_card,27.04,0,706,31.0,Fully Paid
32500,36 months,15.17,1129.33,D,10+ years,RENT,98600,Source Verified,credit_card,20.5,0,673,50.3,Charged Off
12000,36 months,18.21,435.09,D,6 years,RENT,70000,Source Verified,home_improvement,10.68,0,684,51.5,Charged Off
10600,36 months,15.38,369.43,D,7 years,MORTGAGE,120000,Not Verified,debt_consolidation,18.8,0,705,55.0,Charged Off
5400,36 months,13.42,183.04,C,10+ years,MORTGAGE,46100,Verified,debt_consolidation,19.11,0,708,83.1,Fully Paid
10500,36 months,13.97,358.71,D,10+ years,MORTGAGE,25800,Source Verified,small_business,6.93,0,684,53.3,Charged Off
7800,36 months,14.19,267.31,C,7 years,MORTGAGE,77500,Verified,debt_consolidation,24.8,1,700,42.6,Charged Off
24900,36 months,14.94,862.44,C,10+ years,MORTGAGE,42200,Not Verified,debt_consolidation,17.42,0,691,47.9,Charged Off
10800,60 months,12.32,241.99,C,< 1 year,MORTGAGE,52100,Not Verified,debt_consolidation,17.92,0,670,79.3,Charged Off
10100,36 months,17.93,364.78,D,4 years,MORTGAGE,36600,Verified,credit_card,13.75,0,667,36.1,Charged Off
29700,36 months,13.27,1004.58,C,6 years,MORTGAGE,141300,Not Verified,debt_consolidation,36.23,0,695,40.8,Charged Off
15500,60 months,12.44,348.25,B,4 years,MORTGAGE,21100,Source Verified,medical,26.19,0,696,58.9,Fully Paid
4700,36 months,12.55,157.34,C,10+ years,RENT,71100,Not Verified,debt_consolidation,18.69,0,693,89.2,Fully Paid
14500,36 months,10.58,471.83,B,10+ years,RENT,207100,Verified,small_business,19.83,1,711,72.8,Charged Off
10200,60 months,20.59,273.6,E,10+ years,OWN,26900,Not Verified,debt_consolidation,20.79,1,662,47.7,Charged Off
17600,36 months,20.04,654.44,D,4 years,RENT,88500,Source Verified,debt_consolidation,20.16,1,671,71.4,Charged Off
20700,60 months,6.74,407.35,A,10+ years,MORTGAGE,29300,Verified,home_improvement,25.4,0,738,44.1,Charged Off
6100,36 months,11.25,200.43,B,6 years,MORTGAGE,69100,Not Verified,credit_card,12.06,0,696,50.0,Fully Paid
12900,60 months,10.08,274.59,B,10+ years,MORTGAGE,38300,Source Verified,debt_consolidation,16.85,1,720,70.0,Fully Paid
7100,36 months,13.17,239.81,C,10+ years,MORTGAGE,77600,Verified,credit_card,17.33,0,706,42.8,Charged Off
10500,60 months,12.25,234.9,C,10+ years,OWN,143000,Source Verified,major_purchase,20.26,2,695,67.6,Charged Off
16500,36 months,13.08,556.59,C,3 years,MORTGAGE,45000,Not Verified,major_purchase,8.53,1,696,61.9,Fully Paid
16500,36 months,9.23,526.46,B,10+ years,OWN,120600,Not Verified,debt_consolidation,9.18,0,717,75.5,Fully Paid
20900,60 months,13.92,485.44,C,2 years,RENT,164700,Source Verified,credit_card,38.37,0,717,58.1,Charged Off
7800,36 months,17.77,281.09,D,7 years,RENT,49400,Not Verified,debt_consolidation,19.76,0,703,79.3,Fully Paid
16000,36 months,11.61,528.45,B,10+ years,MORTGAGE,30400,Verified,credit_card,21.91,0,722,62.0,Fully Paid
13600,36 months,9.7,436.92,B,3 years,MORTGAGE,108600,Not Verified,home_improvement,18.27,0,728,86.5,Fully Paid
21700,36 months,18.99,795.33,E,10+ years,RENT,99100,Not Verified,debt_consolidation,26.68,1,656,54.9,Charged Off
17800,36 months,13.75,606.2,C,4 years,MORTGAGE,20500,Source Verified,credit_card,19.46,0,694,24.8,Fully Paid
19100,60 months,8.14,388.56,A,5 years,MORTGAGE,147700,Source Verified,credit_card,30.58,0,721,24.2,Fully Paid
22100,60 months,13.5,508.52,C,2 years,RENT,73000,Source Verified,debt_consolidation,23.09,1,709,83.8,Charged Off
10000,36 months,19.18,367.47,D,3 years,MORTGAGE,99400,Source Verified,debt_consolidation,2.9,0,678,63.9,Charged Off
4800,60 months,10.36,102.84,B,5 years,MORTGAGE,47700,Not Verified,debt_consolidation,10.6,0,716,47.5,Fully Paid
10300,36 months,15.25,358.32,D,3 years,RENT,90600,Not Verified,credit_card,30.17,1,675,53.2,Charged Off
7900,36 months,13.87,269.5,C,10+ years,MORTGAGE,55700,Source Verified,credit_card,19.58,1,709,36.2,Charged Off
6000,60 months,5.94,115.83,A,,MORTGAGE,46800,Source Verified,major_purchase,41.21,0,754,52.3,Charged Off
12500,36 months,8.73,395.93,B,8 years,MORTGAGE,59200,Verified,debt_consolidation,11.62,1,729,41.3,Fully Paid
34300,60 months,20.59,920.04,E,5 years,RENT,134700,Not Verified,home_improvement,28.59,0,663,35.2,Charged Off
15300,36 months,18.81,559.37,E,3 years,MORTGAGE,53500,Verified,debt_consolidation,11.21,0,654,34.4,Charged Off
9100,36 months,11.28,299.13,C,6 years,RENT,101100,Source Verified,credit_card,33.19,0,716,77.6,Charged Off
17700,36 months,14.0,604.94,C,10+ years,MORTGAGE,44200,Verified,credit_card,6.36,0,698,71.8,Charged Off
12700,36 months,14.29,435.85,C,10+ years,MORTGAGE,75100,Verified,debt_consolidation,9.06,1,709,11.5,Fully Paid
7900,36 months,8.52,249.46,A,4 years,MORTGAGE,191400,Not Verified,small_business,23.13,0,754,41.7,Fully Paid
7300,36 months,6.36,223.27,A,5 years,RENT,37200,Verified,debt_consolidation,21.0,1,746,88.8,Charged Off
6800,36 months,12.74,228.27,C,10+ years,RENT,63200,Verified,debt_consolidation,15.95,0,695,59.3,Fully Paid
40000,36 months,14.64,1379.57,D,10+ years,MORTGAGE,113900,Not Verified,debt_consolidation,25.01,0,688,44.4,Charged Off
7400,36 months,8.52,233.67,A,3 years,RENT,44500,Verified,debt_consolidation,15.04,0,762,77.5,Fully Paid
18000,36 months,13.14,607.71,C,10+ years,OWN,103600,Source Verified,debt_consolidation,34.22,0,702,63.3,Charged Off
13200,36 months,7.2,408.79,A,10+ years,MORTGAGE,40100,Verified,debt_consolidation,9.69,0,757,47.5,Fully Paid
9400,36 months,18.95,344.33,D,3 years,MORTGAGE,58600,Not Verified,home_improvement,32.13,0,678,58.6,Fully Paid
7700,60 months,12.61,173.67,C,10+ years,RENT,34400,Verified,other,20.29,0,703,38.9,Charged Off
15500,60 months,9.69,326.97,B,10+ years,RENT,65600,Not Verified,car,20.4,0,698,55.2,Fully Paid
5800,36 months,16.73,206.01,C,10+ years,RENT,39400,Source Verified,major_purchase,11.41,0,692,68.9,Charged Off
24700,36 months,30.0,1048.55,G,5 years,RENT,48900,Verified,debt_consolidation,20.83,0,648,84.9,Charged Off
16000,36 months,19.75,592.58,E,10+ years,RENT,37900,Verified,debt_consolidation,12.23,0,672,60.1,Charged Off
2100,36 months,15.13,72.93,C,10+ years,MORTGAGE,189500,Verified,credit_card,11.53,0,681,41.2,Charged Off
33500,36 months,16.37,1183.89,D,< 1 year,MORTGAGE,43200,Verified,debt_consolidation,19.42,0,655,62.2,Fully Paid
9900,36 months,11.89,328.3,C,3 years,OWN,165700,Not Verified,debt_consolidation,35.65,0,676,62.6,Charged Off
13100,36 months,8.99,416.52,B,,MORTGAGE,61500,Source Verified,major_purchase,28.78,0,722,37.2,Fully Paid
18000,60 months,16.28,440.41,E,10+ years,RENT,45900,Verified,credit_card,20.17,0,658,62.4,Fully Paid
25800,60 months,17.23,644.39,D,2 years,MORTGAGE,215200,Not Verified,debt_consolidation,34.72,0,677,40.4,Charged Off
7400,36 months,12.37,247.1,C,,OWN,159100,Not Verified,debt_consolidation,19.63,0,697,46.4,Fully Paid
15500,60 months,15.42,372.17,D,3 years,RENT,17200,Not Verified,other,21.58,1,689,72.9,Charged Off
14100,60 months,6.42,275.35,A,1 year,MORTGAGE,96900,Source Verified,credit_card,16.54,1,755,48.8,Charged Off
38000,60 months,10.08,808.88,B,10+ years,OWN,93200,Not Verified,home_improvement,5.65,0,710,69.6,Charged Off
23500,36 months,13.86,801.58,C,1 year,MORTGAGE,108500,Not Verified,debt_consolidation,11.2,0,692,41.2,Fully Paid
13000,36 months,11.6,429.31,B,4 years,MORTGAGE,48000,Not Verified,debt_consolidation,10.11,1,727,53.0,Fully Paid
12300,36 months,11.17,403.68,B,9 years,RENT,48400,Source Verified,other,8.23,0,725,58.8,Fully Paid
19800,36 months,12.24,659.92,C,10+ years,MORTGAGE,174800,Not Verified,credit_card,31.47,1,702,74.1,Charged Off
12300,36 months,13.41,416.87,C,10+ years,MORTGAGE,33600,Source Verified,debt_consolidation,18.87,1,683,58.0,Fully Paid
17300,36 months,13.17,584.32,C,10+ years,MORTGAGE,70000,Source Verified,debt_consolidation,14.89,0,703,16.7,Fully Paid
11200,36 months,8.34,352.73,B,4 years,MORTGAGE,102300,Not Verified,debt_consolidation,29.16,0,702,69.8,Fully Paid
13400,36 months,13.83,456.87,C,2 years,MORTGAGE,65700,Verified,debt_consolidation,30.33,1,704,84.9,Fully Paid
5400,60 months,15.47,129.8,D,10+ years,OWN,64300,Not Verified,home_improvement,15.43,0,695,60.2,Charged Off
40000,36 months,22.94,1547.14,E,6 years,RENT,60900,Not Verified,debt_consolidation,8.12,1,674,45.4,Charged Off
11100,60 months,10.56,238.91,B,5 years,MORTGAGE,27400,Verified,debt_consolidation,7.52,1,723,31.4,Charged Off
33900,36 months,20.14,1262.26,D,3 years,MORTGAGE,96300,Not Verified,debt_consolidation,20.73,0,682,53.1,Fully Paid
19700,36 months,9.49,630.96,B,10+ years,MORTGAGE,43600,Verified,debt_consolidation,8.65,0,721,43.2,Fully Paid
13600,36 months,12.17,452.82,B,2 years,RENT,90100,Verified,debt_consolidation,14.37,0,716,69.9,Fully Paid
16900,36 months,10.67,550.65,B,3 years,RENT,94700,Verified,debt_consolidation,11.25,0,724,27.8,Fully Paid
6200,36 months,11.61,204.78,C,3 years,OWN,52000,Source Verified,major_purchase,9.61,0,705,49.3,Fully Paid
35300,60 months,9.73,745.34,B,8 years,RENT,65300,Source Verified,home_improvement,11.84,0,717,81.9,Fully Paid
13000,36 months,11.31,427.51,B,8 years,RENT,96500,Not Verified,credit_card,14.25,0,725,69.8,Fully Paid
5900,36 months,12.75,198.08,C,10+ years,OWN,95500,Not Verified,debt_consolidation,13.12,1,694,70.0,Fully Paid
8900,36 months,16.28,314.13,C,9 years,MORTGAGE,37000,Source Verified,other,19.7,0,698,41.7,Charged Off
8900,60 months,15.2,212.67,C,,RENT,47100,Source Verified,major_purchase,28.11,1,699,49.9,Charged Off
20800,36 months,15.62,727.37,D,9 years,MORTGAGE,49800,Source Verified,debt_consolidation,36.83,0,671,76.8,Charged Off
18900,36 months,11.07,619.39,B,7 years,MORTGAGE,67200,Verified,credit_card,44.15,1,703,65.6,Charged Off
10700,36 months,27.59,440.22,G,10+ years,OWN,146200,Not Verified,credit_card,14.66,0,654,32.0,Fully Paid
11400,36 months,21.65,433.31,E,3 years,RENT,66000,Not Verified,debt_consolidation,27.2,0,682,65.2,Charged Off
8300,60 months,10.52,178.48,B,,RENT,194700,Source Verified,debt_consolidation,26.14,0,728,56.3,Fully Paid
30000,36 months,14.99,1039.81,C,10+ years,OWN,35400,Source Verified,small_business,19.06,0,703,8.4,Fully Paid
10500,60 months,13.94,243.99,C,10+ years,OWN,68000,Verified,debt_consolidation,29.8,0,695,75.3,Charged Off
7700,60 months,13.89,178.73,D,7 years,RENT,60900,Verified,debt_consolidation,11.35,0,686,39.7,Charged Off
10700,60 months,12.28,239.53,C,5 years,MORTGAGE,67000,Source Verified,debt_consolidation,18.59,0,706,34.6,Fully Paid
5300,60 months,17.01,131.75,D,1 year,RENT,46900,Not Verified,debt_consolidation,30.52,0,693,27.4,Charged Off
21000,36 months,6.47,643.34,A,,MORTGAGE,94700,Source Verified,major_purchase,13.91,1,736,55.6,Fully Paid
27700,36 months,7.35,859.74,A,1 year,MORTGAGE,65900,Verified,debt_consolidation,20.7,0,739,90.4,Fully Paid
7700,36 months,10.24,249.33,B,9 years,RENT,62400,Not Verified,small_business,31.65,1,731,51.7,Charged Off
32800,60 months,13.94,762.18,C,< 1 year,RENT,23500,Verified,debt_consolidation,16.19,0,702,43.1,Fully Paid
17800,36 months,9.64,571.35,B,10+ years,MORTGAGE,49000,Verified,credit_card,13.9,0,711,68.5,Charged Off
9800,36 months,20.07,364.55,D,5 years,MORTGAGE,59100,Source Verified,debt_consolidation,11.7,1,695,82.0,Charged Off
5500,36 months,19.78,203.78,E,10+ years,MORTGAGE,66100,Not Verified,credit_card,27.7,1,666,41.6,Charged Off
8600,36 months,9.31,274.72,B,4 years,MORTGAGE,85900,Verified,debt_consolidation,16.47,1,719,30.3,Fully Paid
24700,60 months,21.51,675.32,E,10+ years,OWN,60700,Verified,credit_card,23.2,0,692,22.4,Fully Paid
22300,36 months,15.74,781.14,D,5 years,RENT,32100,Verified,debt_consolidation,24.76,2,684,62.4,Fully Paid
13300,60 months,15.5,319.91,C,,MORTGAGE,22700,Not Verified,debt_consolidation,28.69,0,700,,Charged Off
6600,36 months,13.63,224.39,C,10+ years,MORTGAGE,61400,Not Verified,debt_consolidation,39.58,0,702,78.0,Fully Paid
6000,36 months,13.9,204.77,C,4 years,RENT,63800,Not Verified,debt_consolidation,23.83,0,686,32.0,Fully Paid
5100,36 months,13.45,172.95,C,1 year,MORTGAGE,93100,Not Verified,credit_card,37.55,0,703,5.9,Charged Off
5500,36 months,11.83,182.23,C,6 years,OWN,58600,Source Verified,debt_consolidation,20.51,0,691,29.0,Fully Paid
19700,36 months,6.39,602.8,A,< 1 year,MORTGAGE,36000,Not Verified,debt_consolidation,40.05,0,729,65.9,Fully Paid
11600,36 months,10.61,377.63,B,1 year,RENT,58800,Not Verified,debt_consolidation,24.98,0,713,37.4,Charged Off
8000,36 months,12.24,266.63,C,4 years,MORTGAGE,22300,Not Verified,small_business,10.38,0,687,64.0,Charged Off
17900,36 months,9.62,574.39,B,< 1 year,RENT,127200,Not Verified,credit_card,18.7,1,711,22.6,Fully Paid
5200,36 months,17.56,186.85,D,10+ years,MORTGAGE,82700,Not Verified,credit_card,33.63,0,686,43.4,Charged Off
18500,60 months,9.21,385.92,B,4 years,MORTGAGE,67500,Source Verified,debt_consolidation,9.0,0,709,32.7,Fully Paid
32300,36 months,6.86,995.26,A,10+ years,MORTGAGE,32400,Source Verified,debt_consolidation,21.51,1,739,70.9,Fully Paid
7900,60 months,10.58,170.12,B,10+ years,RENT,59500,Not Verified,debt_consolidation,9.77,0,733,62.4,Charged Off
9700,36 months,9.02,308.55,B,5 years,MORTGAGE,99700,Source Verified,debt_consolidation,21.5,0,709,26.8,Fully Paid
9600,36 months,6.74,295.28,A,10+ years,MORTGAGE,94600,Source Verified,debt_consolidation,17.04,0,756,55.3,Fully Paid
16100,60 months,18.03,409.1,D,10+ years,RENT,143100,Not Verified,debt_consolidation,28.22,0,677,90.7,Charged Off
9100,36 months,11.66,300.77,B,10+ years,MORTGAGE,68900,Not Verified,debt_consolidation,20.37,0,708,85.3,Fully Paid
21600,36 months,18.61,787.52,D,2 years,RENT,38300,Not Verified,debt_consolidation,8.71,0,672,41.2,Fully Paid
13100,60 months,11.31,286.86,B,4 years,MORTGAGE,28400,Verified,debt_consolidation,18.5,0,705,59.1,Fully Paid
10600,36 months,18.6,386.41,D,5 years,OWN,21600,Not Verified,debt_consolidation,29.12,0,672,85.4,Charged Off
7200,36 months,15.51,251.39,D,10+ years,OWN,81700,Source Verified,debt_consolidation,19.86,0,675,65.5,Charged Off
17000,36 months,7.57,529.35,A,10+ years,MORTGAGE,53000,Not Verified,credit_card,11.13,1,736,16.7,Fully Paid
20800,36 months,17.23,743.96,E,1 year,MORTGAGE,318500,Source Verified,home_improvement,20.79,0,675,66.0,Charged Off
4800,36 months,8.03,150.48,A,,MORTGAGE,234800,Source Verified,credit_card,13.15,0,744,75.6,Fully Paid
5900,36 months,14.08,201.88,D,3 years,RENT,106200,Verified,debt_consolidation,29.71,0,684,88.0,Charged Off
